category,sample_id,Malignant,Boundary,Normal
Epi-Epi,GSM7757977_R2-S2,0.336206896551724,0.390143692996041,0.371990265086929
Epi-Epi,GSM7757978_R2-S3,0.631496892301083,0.440137998729718,0.607113413316568
Epi-Epi,GSM7757979_R2-S4,0.365873015873015,1.0,0.362484088016002
Epi-Epi,GSM7757980_R2-S5,0.251798561151079,1.0,0.297684676280234
Epi-Epi,GSM7757982_R3-S2,0.458404802744425,1.0,0.293933419521654
Epi-Epi,GSM7757983_R3-S3,0.512032770097286,0.0,0.273334072104018
Epi-Epi,GSM7757984_R3-S4,0.474255777516647,0.409322439491316,0.436067072129019
Epi-Epi,GSM7757985_R3-S5,0.281520953757225,0.428523035230352,0.281772215448612
Epi-Epi,GSM7777521_B1,1.0,0.0,0.299257617907743
Epi-Epi,GSM7777522_C1,0.292291883325905,0.720930232558139,0.666666666666666
Epi-Epi,GSM7777523_D1,0.0,0.0,0.198495559449906
Epi-Epi,GSM7850822_CHC20,0.0,0.0,0.571767413461086
Epi-Epi,HCC1R,0.778444373222226,0.324324324324324,0.376497478889496
Epi-Epi,HCC3R,0.492277877161598,0.545454545454545,0.650174273243495
Epi-Epi,HCC4R,0.822923976608187,1.0,0.509408113788138
Epi-Epi,HCC6NR,1.0,0.792700825736241,0.711688679828384
Epi-Epi,HCC7NR,0.718600027423556,0.705775415696002,0.525382327952421
Epi-Epi,HRA000437_HCC-1T,0.463576158940397,1.0,0.404230317273795
Epi-Epi,HRA000437_HCC-2T,0.517119273224577,0.760090497737556,0.689855187357962
Epi-Epi,HRA000437_HCC-3T,1.0,0.832762557077625,0.48440008192934
Epi-Epi,HRA000437_HCC-4T,0.572130559540889,0.503164556962025,0.497639034627492
Epi-Epi,Parent_Visium_Human_BreastCancer_201027,0.43513782324524,0.500021992135612,0.259546020269068
Epi-Epi,Parent_Visium_Human_ColorectalCancer_201027,0.505084745762711,0.506493506493506,0.22111355822948
Epi-Epi,Parent_Visium_Human_OvarianCancer_201027,0.579787283322678,0.767673437611712,0.650340544871794
Epi-Epi,S16_43398,0.371490917669261,0.429278507519512,0.232603225851572
Epi-Epi,S20_47598,0.347394540942928,0.551724419078679,0.118835159121258
Epi-Epi,S20_61122,0.438877755511022,0.619756864849046,0.237413210559536
Epi-Epi,S20_63981,0.447438531167747,0.441897929375375,0.173225234837947
Epi-Epi,S21_10267,0.179082967761071,0.473634117018434,0.192773538595114
Epi-Epi,SN048_A121573_Rep1,0.31624076010282,0.395,0.256001661359545
Epi-Epi,SN048_A121573_Rep2,0.49063670411985,0.535353535353535,0.136741956569104
Epi-Epi,SN048_A416371_Rep1,0.52127659574468,0.0,0.234550301929319
Epi-Epi,SN048_A416371_Rep2,0.571428571428571,0.0,0.227356209606174
Epi-Epi,SN123_A551763_Rep1,0.0,0.764705882352941,0.198939929328621
Epi-Epi,SN123_A595688_Rep1,0.398009950248756,0.48728722258134,0.381787215978006
Epi-Epi,SN123_A938797_Rep1_X,0.0,0.471264367816091,0.372112062490611
Epi-Epi,SN124_A595688_Rep2,0.297709923664122,0.0,0.78235294117647
Epi-Epi,SN124_A938797_Rep2,0.569892473118279,0.494259906759906,0.36552080441689
Epi-Epi,SN84_A120838_Rep1,0.651162790697674,1.0,0.402843601895734
Epi-Epi,SN84_A120838_Rep2,0.45679012345679,0.36231884057971,0.472977680680207
Epi-Epi,V10F24-015_A1,0.0,0.0,0.0890446757974789
Epi-Epi,V10F24-015_B1,0.598301963993453,0.478835868293498,0.195521528897075
