"category","sample_id","Region","value"
"Epi-Epi","GSE144239_GSM4565826","Normal",0.182524264713983
"Epi-Epi","GSE251950_20_00331_LI_SING","Malignant",0.36920425861351
"Epi-Epi","GSE251950_20_00331_LI_SING","Boundary",0.640181710965994
"Epi-Epi","GSE251950_20_00331_LI_SING","Normal",0.297904238495623
"Epi-Epi","GSE251950_21_00731_LI_SING","Malignant",0.385919641805113
"Epi-Epi","GSE251950_21_00731_LI_SING","Boundary",0.389898145332927
"Epi-Epi","GSE251950_21_00731_LI_SING","Normal",0.141183607279794
"Epi-Epi","GSE251950_21_00732_LI_SING","Malignant",0.155550762151279
"Epi-Epi","GSE251950_21_00732_LI_SING","Boundary",0.355072463768115
"Epi-Epi","GSE251950_21_00732_LI_SING","Normal",0.113582211342309
