"lr_pair","cancer_type","strength","group_pair","z_score"
"LAMA4-ITGA6","PACA",0.01156434,"Endothelial-Mural",0.27786359
"LAMA4-ITGAV","PACA",0.00346486,"Endothelial-Mural",-0.3309704
"LAMC1-ITGA1","PACA",0.007296,"Endothelial-Mural",-0.1573517
"LAMC1-ITGAV","PACA",0.00455589,"Endothelial-Mural",0.21390792
"PGF-NRP1","PACA",0.00675944,"Endothelial-Mural",-0.3530962
"PGF-NRP2","PACA",0.00217435,"Endothelial-Mural",-0.7693499
"THBS1-ITGA6","PACA",0.0464701,"Endothelial-Mural",2.91392514
"THBS1-ITGB1","PACA",0.07282661,"Endothelial-Mural",2.76588854
"TIMP1-CD63","PACA",0.13903591,"Endothelial-Mural",-0.1238771
"TIMP3-CD44","PACA",0.01400344,"Endothelial-Mural",-0.4322501
"APP-CAV1","PRCA",0.07930442,"Endothelial-Mural",-0.8097713
"APP-CD74","PRCA",0.07595717,"Endothelial-Mural",0.73645608
"BGN-LY96","PRCA",0.00951454,"Endothelial-Mural",-0.4979068
"COL18A1-ITGB1","PRCA",0.01462132,"Endothelial-Mural",-2.2634758
"COL18A1-KDR","PRCA",0.00396373,"Endothelial-Mural",-1.0520746
"COL1A1-ITGA5","PRCA",0.00350184,"Endothelial-Mural",-1.0018212
"COL4A1-ITGA1","PRCA",0.00214674,"Endothelial-Mural",-1.1869156
"COL6A2-ITGB1","PRCA",0.03796372,"Endothelial-Mural",-1.5766885
"HBEGF-CD44","PRCA",0.00049566,"Endothelial-Mural",-0.7713149
"ICAM1-CAV1","PRCA",0.01052959,"Endothelial-Mural",-0.7639961
"PGF-NRP1","PRCA",0.00959232,"Endothelial-Mural",-0.0948377
"THBS1-ITGA6","PRCA",0.00348974,"Endothelial-Mural",-0.4820364
"THBS1-ITGB1","PRCA",0.01054433,"Endothelial-Mural",-0.6194497
"TIMP1-CD63","PRCA",0.10473969,"Endothelial-Mural",-1.3181308
"TIMP2-CD44","PRCA",0.00040943,"Endothelial-Mural",-0.9129085
"TIMP3-CD44","PRCA",0.00195733,"Endothelial-Mural",-0.9589362
"ADAM10-CD44","SKCA",0.03012731,"Endothelial-Mural",2.22217972
"APP-CAV1","SKCA",0.14523255,"Endothelial-Mural",2.23893255
"APP-CD74","SKCA",0.05739079,"Endothelial-Mural",0.00912756
"BGN-LY96","SKCA",0.06420216,"Endothelial-Mural",2.15386999
"COL18A1-ITGB1","SKCA",0.09584637,"Endothelial-Mural",0.83247701
"COL18A1-KDR","SKCA",0.04578688,"Endothelial-Mural",1.30514754
"COL1A1-ITGA5","SKCA",0.08238128,"Endothelial-Mural",2.15093466
"COL1A1-ITGAV","SKCA",0.02596795,"Endothelial-Mural",2.16226372
"COL1A2-ITGAV","SKCA",0.02533683,"Endothelial-Mural",2.14572074
"COL4A1-CD47","SKCA",0.06381884,"Endothelial-Mural",3.00407159
"COL4A1-ITGA1","SKCA",0.04801441,"Endothelial-Mural",0.6942388
"COL4A1-ITGAV","SKCA",0.02121214,"Endothelial-Mural",0.8359793
"COL5A2-ITGB1","SKCA",0.10287528,"Endothelial-Mural",2.18617303
"COL6A2-ITGA1","SKCA",0.00989227,"Endothelial-Mural",-0.6467283
"COL6A2-ITGB1","SKCA",0.14815419,"Endothelial-Mural",2.18625796
"COL6A3-ITGB1","SKCA",0.09120606,"Endothelial-Mural",2.52555365
"EDN1-EDNRA","SKCA",0.01010581,"Endothelial-Mural",2.41185304
"EFEMP2-AQP1","SKCA",0.00416903,"Endothelial-Mural",-0.6100007
"FYN-THY1","SKCA",0.00732981,"Endothelial-Mural",-0.1862129
"GNAI2-EDNRA","SKCA",0.05002066,"Endothelial-Mural",2.26856952
"GNAI2-F2R","SKCA",0.03076856,"Endothelial-Mural",2.36888913
"GNAI2-S1PR3","SKCA",0.0112322,"Endothelial-Mural",-0.0744388
"ICAM1-CAV1","SKCA",0.02022915,"Endothelial-Mural",-0.4558621
"LAMA4-ITGA6","SKCA",0.01336772,"Endothelial-Mural",0.49162245
"LAMA4-ITGAV","SKCA",0.01769444,"Endothelial-Mural",2.58570878
"LAMC1-ITGA1","SKCA",0.02830102,"Endothelial-Mural",2.17790545
"LAMC1-ITGAV","SKCA",0.01236014,"Endothelial-Mural",2.50091164
"LUM-ITGB1","SKCA",0.08316604,"Endothelial-Mural",2.16310398
"PGF-NRP1","SKCA",0.00092436,"Endothelial-Mural",-0.8850492
"PGF-NRP2","SKCA",0.00458002,"Endothelial-Mural",-0.2947886
"THBS1-ITGA6","SKCA",0.00491952,"Endothelial-Mural",-0.3690667
"THBS1-ITGB1","SKCA",0.01071187,"Endothelial-Mural",-0.6103434
"TIMP1-CD63","SKCA",0.18435579,"Endothelial-Mural",1.45423906
"TIMP2-CD44","SKCA",0.04001602,"Endothelial-Mural",2.24578076
"TIMP3-CD44","SKCA",0.08214857,"Endothelial-Mural",2.54722537
"ADAM10-CD44","STCA",0.00540412,"Endothelial-Mural",-0.137812
"APP-CAV1","STCA",0.10182361,"Endothelial-Mural",0.23158011
"APP-CD74","STCA",0.1121625,"Endothelial-Mural",2.15478151
"BGN-LY96","STCA",0.00860241,"Endothelial-Mural",-0.5421356
"COL18A1-ITGB1","STCA",0.1108122,"Endothelial-Mural",1.40291097
"COL18A1-KDR","STCA",0.06133809,"Endothelial-Mural",2.18163923
"COL1A1-ITGA5","STCA",0.06054838,"Endothelial-Mural",1.27828877
"COL1A1-ITGAV","STCA",0.01366899,"Endothelial-Mural",0.57461151
"COL1A2-ITGA1","STCA",0.02464,"Endothelial-Mural",0.92678285
